Streetname,Odd1,Odd2,Even1,Even2,Ward,Subward
QUEEN ST E,1,79,2,120,13,072
QUEEN ST E,85,141,,,13,075
QUEEN ST E,,,130,254,13,070
QUEEN ST E,145,147,,,13,076
QUEEN ST E,163,285,,,13,070
QUEEN ST E,287,345,,,13,079
QUEEN ST E,,,310,384,13,063
QUEEN ST E,351,555,388,500,13,080
QUEEN ST E,,,502,578,13,066
QUEEN ST E,579,579,,,13,081
QUEEN ST E,,,600,812,14,052
QUEEN ST E,621,887,870,970,14,051
QUEEN ST E,889,1081,972,1046,14,050
QUEEN ST E,,,1054,1134,14,049
QUEEN ST E,1091,1189,1140,1158,14,048
QUEEN ST E,,,1160,1220,14,045
QUEEN ST E,1195,1201,,,14,047
QUEEN ST E,1209,1227,,,14,048
QUEEN ST E,,,1226,1236,14,044
QUEEN ST E,1233,1617,,,14,043
QUEEN ST E,,,1238,1238,14,046
QUEEN ST E,,,1240,1370,14,044
QUEEN ST E,,,1372,1612,14,043
QUEEN ST E,1619,1809,1614,1836,19,052
QUEEN ST E,1813,2169,1842,1928,19,056
QUEEN ST E,,,1930,1958,19,055
QUEEN ST E,,,1960,2018,19,057
QUEEN ST E,,,2020,2072,19,059
QUEEN ST E,,,2074,2148,19,058
QUEEN ST E,,,2150,2256,19,062
QUEEN ST E,2171,2339,,,19,058
QUEEN ST E,2341,2505,2258,2396,19,063
QUEEN ST E,2701,3029,2400,3012,20,066
QUEEN ST W,1,1,2,60,13,072
QUEEN ST W,55,299,,,10,027
QUEEN ST W,,,100,250,10,020
QUEEN ST W,,,252,378,10,018
QUEEN ST W,307,441,,,10,028
QUEEN ST W,,,382,406,10,017
QUEEN ST W,,,408,484,10,016
QUEEN ST W,443,651,,,10,038
QUEEN ST W,,,486,586,10,014
QUEEN ST W,,,588,588,10,015
QUEEN ST W,,,592,614,10,014
QUEEN ST W,,,616,780,10,013
QUEEN ST W,655,837,,,10,043
QUEEN ST W,,,790,1000,10,002
QUEEN ST W,839,931,,,10,012
QUEEN ST W,935,993,,,10,002
QUEEN ST W,999,1001,,,10,004
QUEEN ST W,1033,1033,1006,1090,10,001
QUEEN ST W,1051,1071,,,10,004
QUEEN ST W,1075,1089,,,10,002
QUEEN ST W,1093,1153,1092,1230,09,047
QUEEN ST W,1155,1179,,,09,049
QUEEN ST W,1181,1199,,,09,047
QUEEN ST W,1205,1347,,,04,065
QUEEN ST W,,,1258,1528,04,059
QUEEN ST W,1349,1375,,,04,063
QUEEN ST W,1381,1487,,,04,060
QUEEN ST W,1495,1501,,,04,057
QUEEN ST W,1515,1647,,,04,060
QUEEN ST W,,,1530,1736,04,057
