StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
MONARCH PARK AVE,,,330,362,14.0,6.0,MOOREHILL DR,1.0,23,2.0,22,15.0,54.0
MONARCHDALE AVE,1.0,41,2,40,5.0,28.0,MOOREHOUSE DR,3.0,119,4.0,124,23.0,2.0
MONARCHWOOD CRES,1.0,41,4,42,16.0,19.0,MOORESHEAD DR,1.0,47,6.0,76,2.0,72.0
MONASTERY LANE,1.0,69,2,70,20.0,3.0,MORAINE HILL DR,3.0,79,2.0,78,22.0,50.0
MONCLOVA RD,23.0,79,8,20,6.0,48.0,MORAN RD,1.0,61,2.0,60,23.0,27.0
MONCLOVA RD,,,36,62,6.0,47.0,MORAY PL,,,4.0,26,21.0,52.0
MONCLOVA RD,,,70,70,6.0,48.0,MORBANK DR,1.0,103,10.0,100,22.0,12.0
MONCRIEFF DR,1.0,79,4,44,1.0,39.0,MOREAU TRL,3.0,113,4.0,98,20.0,2.0
MONDEO DR,1.0,121,,,21.0,3.0,MORECAMBE GT,51.0,51,50.0,68A,22.0,17.0
MONDEO DR,,,8,18,21.0,5.0,MOREWOOD CRES,5.0,51,2.0,56,17.0,70.0
MONDEO DR,,,28,122,21.0,3.0,MORGAN AVE,7.0,49,12.0,50,3.0,36.0
MONET AVE,3.0,17,2,18,2.0,51.0,MORGANDALE CRES,3.0,67,4.0,68,22.0,38.0
MONKTON AVE,7.0,69,6,68,3.0,24.0,MORLAND RD,1.0,33,2.0,42,4.0,5.0
MONMOUTH CRT,,,2,22,24.0,23.0,MORLEY CRT,1.0,5,2.0,6,2.0,34.0
MONMOUTH CRT,,,26,48,24.0,24.0,MORNA AVE,1.0,65,8.0,68,24.0,41.0
MONOGRAM PL,,,2X,26,1.0,53.0,MORNELLE CRT,,,70.0,90,24.0,12.0
MONTAGUE PL,1.0,27,,,22.0,11.0,MORNELLE CRT,,,100.0,100,24.0,13.0
MONTANA AVE,3.0,55,10,54,6.0,44.0,MORNELLE CRT,,,110.0,110,24.0,12.0
MONTANA AVE,,,86,88,5.0,4.0,MORNING DEW RD,1.0,75,4.0,74,25.0,48.0
MONTAVISTA ST,3.0,29,4,36,24.0,17.0,MORNING GLORYWAY,9.0,33,2.0,12,17.0,13.0
MONTCALM AVE,1.0,69,2,98,8.0,48.0,MORNINGSIDE AVE,1.0,11,4.0,28,4.0,41.0
MONTCLAIR AVE,5.0,17,2,48,12.0,42.0,MORNINGSIDE AVE,21.0,225,,,25.0,53.0
MONTCLAIR AVE,49.0,91,50,80,12.0,47.0,MORNINGSIDE AVE,,,22.0,90,24.0,41.0
MONTCLAIR AVE,181.0,195,180,196,12.0,49.0,MORNINGSIDE AVE,,,30.0,134,4.0,40.0
MONTCREST BLVD,,,2,16,14.0,30.0,MORNINGSIDE AVE,43.0,165,,,4.0,42.0
MONTEBELLO GDNS,3.0,9,2,8,2.0,61.0,MORNINGSIDE AVE,,,124.0,230,24.0,40.0
MONTEITH ST,33.0,33,2,36,13.0,13.0,MORNINGSIDE AVE,,,148.0,178,4.0,42.0
MONTERREY DR,3.0,105,4,70,1.0,14.0,MORNINGSIDE AVE,245.0,373,,,25.0,46.0
MONTESSON ST,1.0,19,2,20,3.0,23.0,MORNINGSIDE AVE,,,280.0,360,24.0,38.0
MONTEZUMA TRL,3.0,141,2,104,23.0,25.0,MORNINGSIDE AVE,,,390.0,920,24.0,12.0
MONTFORD DR,1.0,43,2,42,18.0,12.0,MORNINGSIDE AVE,755.0,891,,,25.0,42.0
MONTGOMERY AVE,7.0,7,,,23.0,51.0,MORNINGSIDE AVE,1139.0,1149,,,25.0,20.0
MONTGOMERY AVE,,,16,158,8.0,67.0,MORNINGSIDE AVE,,,1150.0,1176,25.0,17.0
MONTGOMERY AVE          19      27         18      28         23   027          MORNINGSIDE AVE           1265  1425     1210X1220X  25   016,,,,,,,,,,,,,
MONTGOMERY AVE,25.0,141,,,8.0,67.0,MORNINGSIDE AVE,2131.0,2173,2130.0,2130,25.0,1.0
MONTGOMERY RD,7.0,47,4,50,3.0,6.0,MORNINGSIDE AVE,,,2710.0,2776,23.0,35.0
MONTGOMERY RD,65.0,115,86,106,2.0,41.0,MORNINGSIDE AVE,2851.0,2889,,,23.0,16.0
MONTORO LANE,15.0,37,,,24.0,36.0,MORNINGTON GT,1.0,1,4.0,8,24.0,20.0
MONTRESSOR DR,1.0,93,4,94,15.0,1.0,MORNINGVIEW TRL,1.0,1,,,25.0,16.0
MONTROSE AVE,1.0,189,2,180,11.0,62.0,MORNINGVIEW TRL,,,2.0,2,25.0,11.0
MONTROSE AVE,195.0,365,200,358,11.0,60.0,MORNINGVIEW TRL,61.0,261X,58.0,226,25.0,12.0
MONTROSE AVE,369.0,485,360,496,11.0,2.0,MORNINGVIEW TRL,,,252.0,268,25.0,11.0
MONTVALE DR,1.0,73,2,62,20.0,33.0,MORRISH RD,21.0,397,28.0,384,25.0,40.0
MONTYE AVE,1.0,45,2,46,4.0,6.0,MORRISH RD,525.0,771X,540.0,770,25.0,41.0
MOON VALLEY DR,3.0,67,4,44,1.0,36.0,MORRISON AVE,99.0,117,42.0,118,9.0,9.0
MOONBEAM GRV,,,4,32,25.0,16.0,MORRISON AVE,127.0,171,122.0,180,9.0,2.0
MOONSEED CRT,5.0,23,,,20.0,32.0,MORRISON ST,1.0,9,10.0,10,10.0,38.0
MOONSTONE BYWAY,,,10,20,17.0,11.0,MORROW AVE,9.0,25A,10.0,30,4.0,16.0
MOORE AVE,15.0,175,2,214,11.0,26.0,MORSE ST,11.0,137,10.0,182,14.0,50.0
